file_name,sampling_rate,duration_sec,mean_amplitude,max_amplitude,modality,vocal_channel,emotion_code,intensity,statement,repetition,actor,emotion_category,actor_gender
03-01-01-01-02-02-22.wav,48000,3.5368541666666666,0.0018541793,0.04949951,03,01,01,01,02,02,22,Neutral,Female
03-01-01-01-02-02-17.wav,48000,3.470125,0.003451208,0.08117676,03,01,01,01,02,02,17,Neutral,Male
03-01-01-01-02-01-11.wav,48000,3.2032083333333334,0.0017151173,0.028015137,03,01,01,01,02,01,11,Neutral,Male
03-01-01-01-01-01-19.wav,48000,3.370041666666667,0.0016464085,0.03112793,03,01,01,01,01,01,19,Neutral,Male
03-01-01-01-01-01-20.wav,48000,3.470125,0.0011224791,0.020874023,03,01,01,01,01,01,20,Neutral,Female
03-01-01-01-02-01-18.wav,48000,3.470125,0.0013960142,0.019744873,03,01,01,01,02,01,18,Neutral,Female
03-01-01-01-01-02-04.wav,48000,3.370041666666667,0.001999841,0.046051025,03,01,01,01,01,02,04,Neutral,Female
03-01-01-01-02-01-10.wav,48000,3.7370625,0.009117288,0.117126465,03,01,01,01,02,01,10,Neutral,Female
03-01-01-01-02-01-09.wav,48000,3.3366666666666664,0.0007559625,0.014587402,03,01,01,01,02,01,09,Neutral,Male
03-01-01-01-01-02-01.wav,48000,3.3366666666666664,0.0017713617,0.04815674,03,01,01,01,01,02,01,Neutral,Male
03-01-01-01-01-01-19.wav,48000,3.370041666666667,0.0016464085,0.03112793,03,01,01,01,01,01,19,Neutral,Male
03-01-01-01-01-02-15.wav,48000,3.4367708333333336,0.0023645947,0.09939575,03,01,01,01,01,02,15,Neutral,Male
03-01-01-01-01-02-24.wav,48000,3.6369583333333333,0.0016858681,0.04055786,03,01,01,01,01,02,24,Neutral,Female
03-01-01-01-01-02-18.wav,48000,3.536875,0.0015817508,0.020629883,03,01,01,01,01,02,18,Neutral,Female
03-01-01-01-01-02-11.wav,48000,3.1031041666666668,0.0018906965,0.030853271,03,01,01,01,01,02,11,Neutral,Male
03-01-01-01-02-02-19.wav,48000,3.3032916666666665,0.0018468853,0.041625977,03,01,01,01,02,02,19,Neutral,Male
03-01-01-01-01-02-11.wav,48000,3.1031041666666668,0.0018906965,0.030853271,03,01,01,01,01,02,11,Neutral,Male
03-01-01-01-02-02-18.wav,48000,3.4701458333333335,0.0014959376,0.019866943,03,01,01,01,02,02,18,Neutral,Female
03-01-01-01-01-01-07.wav,48000,3.9039166666666665,0.0020000373,0.051452637,03,01,01,01,01,01,07,Neutral,Male
